PART	QTY	DESCRIPTION	PART NUMBER	LINK
T1	1	BSP125 N-MOS transistor	BSP125H6433XTMA1	https://www.digikey.ch/product-detail/de/BSP125H6433XTMA1/BSP125H6433XTMA1CT-ND/8416918
R1	1	10 kOhm resistor, carbon film, 0411, 500 mW, 5%, brown-black-orange-gold	e.g. RD12JN103T52	https://www.reichelt.de/ch/de/widerstand-kohleschicht-10-kohm-0411-500-mw-5--k-o-rd12jn103t52-p237431.html?&nbc=1
R2, R5	2	1.0 MOhm resistor, carbon film, 0207, 250 mW, 5%, brown-black-green-gold	e.g. CFR-25JT-52-1M	https://www.reichelt.de/ch/de/widerstand-kohleschicht-1-0-mohm-0207-250-mw-5--1-4w-1-0m-p1316.html?&nbc=1
R3, R4	2	4.7 MOhm resistor, carbon film, 0207, 250 mW, 5%, yellow-violet-green-gold	e.g. CFR-25JT-52-4M7	https://www.reichelt.de/ch/de/widerstand-kohleschicht-4-7-mohm-0207-250-mw-5--1-4w-4-7m-p1426.html?&nbc=1
D1, D2	2	Zener diode, ZY 200	ZY200 or BZX85C200	https://www.reichelt.de/ch/de/zenerdiode-200-v-2-w-do-41-zy-200-dio-p219675.html?&nbc=1 or https://www.reichelt.de/ch/de/zenerdiode-200-v-2-w-do-204al-do41-zy-200-p23258.html?&nbc=1
D3	1	Zener diode, 3.3 V, 0.5 W, DO-35	BZX55C3V3	https://www.reichelt.de/ch/de/zenerdiode-3-3-v-0-5-w-do-35-bzx-55c3v3-vis-p219425.html?&nbc=1
D4	1	Rectifier diode, 1000 V, 1 A, SOD-57	BYV26E	https://www.reichelt.de/ch/de/gleichrichterdiode-1000-v-1-a-sod-57-byv-26e-p216750.html?&nbc=1
D6	1	Rectifier diode GP10Y, 1.6 kV, 1 A	GP10Y-E3/54	https://www.digikey.ch/product-detail/de/GP10Y-E3%2f54/GP10Y-E3%2f54GICT-ND/3026056
C1	1	Electrolytic capacitor 100 uF, 16 V	SKR101M1CE11VM	https://www.reichelt.de/ch/de/elko-radial-100-f-16-v-rm-2-5-85-c-20--jam-skr101m1ce11-p229977.html?&nbc=1
C2	1	Film capacitor, 10 nF, 100 V, FKP2-100 10N, "0.01  100-"	FKP2D021001I00HSSD	https://www.reichelt.de/ch/de/folienkondensator-10nf-100v-rm5-fkp2-100-10n-p172454.html?&nbc=1
C3	1	Film capacitor, 100 nF, 630 V, MKP4-630 100N, "0.1  630-"	MKP4J031004D00KSSD	https://www.reichelt.de/ch/de/folienkondensator-100nf-630v-rm15-mkp4-630-100n-p173032.html?&nbc=1
C4	1	Film capacitor, 100 pF, 1000 V, FKP2-1000 100P, "100/1000-"	FKP2O101001D00HSSD	https://www.reichelt.de/ch/de/folienkondensator-100pf-1000v-rm5-fkp2-1000-100p-p31949.html?&nbc=1
L1	1	Inductor, 150 uH, "154J"	11P-154J-50	https://www.reichelt.de/ch/de/stehende-induktivitaet-11p-ferrit-150m-l-11p-150m-p73012.html?&nbc=1
Pz1	1	Piezo speaker/buzzer	AL-60SP05	https://www.reichelt.de/ch/de/elektromagnetischer-summer-summer-tdb-05-p35918.html?&nbc=1
X1, X2	2	Geiger tube holder		
GTUBE	1	Geiger tube (SBM-20, SBM-19, or Si22G; others possible if the conversion factor in firmware is adjusted)	SBM-20, SBM-19, or Si22G	various, e.g., eBay (often Russian/Ukrainian sellers)
HDR	2	Female header strip for the microcontroller module		
USB	1	Micro-USB power supply		

Optional Parts
PART	QTY	DESCRIPTION	PART NUMBER	LINK
S2	1	DIP switch, 4-position, piano style	DP 04	https://www.reichelt.de/index.html?ACTION=446&LA=0&nbc=1&q=dp%2004
R6, R7, R8, R9	4	10 kOhm SMD resistor, 0805	RND 0805 1 10K	https://www.reichelt.de/smd-widerstand-0805-10-kohm-125-mw-1--rnd-0805-1-10k-p183251.html?&trstct=pos_12&nbc=1
I2C	1	Micro JST 1.5 mm, ZH 4-pin header		
